criteria,cost_of_bike,assistance,segment,rating,price,provider,rank,location,product_variant,month
Fahrrad,10000,Yes,None,1.0,24.5,Janitos,7,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,10000,Yes,None,1.1,25.0,NV Versicherungen,8,bayern,Premium 1.0,July
Fahrrad,10000,Yes,None,1.1,25.25,Bessergrün,9,bayern,Premium 1.0,July
Fahrrad,10000,Yes,None,1.1,25.31,Schutzgarant,10,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,None,1.1,26.63,Hepster,11,bayern,Premium,July
Fahrrad,10000,Yes,None,1.0,27.63,Hepster,12,bayern,Superior,July
Fahrrad,10000,Yes,None,1.0,28.6,Ammerländer,13,bayern,Exclusiv,July
Fahrrad,10000,Yes,None,1.2,28.9,BerlinDirect,14,bayern,Rundum,July
Fahrrad,10000,Yes,None,1.2,29.4,BerlinDirect,15,bayern,Premium,July
Fahrrad,10000,Yes,None,1.2,32.5,GVO,16,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,None,1.0,35.75,Ammerländer,17,bayern,Excellent,July
Fahrrad,10000,Yes,None,1.0,36.41,Ammerländer,18,bayern,Excellent Plus,July
Fahrrad,10000,Yes,None,1.7,38.87,Bikmo,19,bayern,Plus,July
Fahrrad,10000,Yes,None,1.3,55.22,Adam Riese,20,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,None,1.2,60.55,Adam Riese,21,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,None,2.1,71.6,Verias,22,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,Cheap,1.5,16.96,Hepster,1,bayern,Basic,July
Fahrrad,9000,Yes,None,1.5,19.43,BerlinDirect,2,bayern,Classic Rundum,July
Fahrrad,9000,Yes,None,1.3,19.83,GVO,3,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,1.3,20.01,Schutzgarant,4,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,Price-performance recommendation,1.0,20.39,AndSafe,5,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,1.7,21.45,MVK,6,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,1.0,22.08,Janitos,7,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,9000,Yes,None,1.1,22.5,NV Versicherungen,8,bayern,Premium 1.0,July
Fahrrad,9000,Yes,None,1.1,22.75,Bessergrün,9,bayern,Premium 1.0,July
Fahrrad,9000,Yes,None,1.1,22.91,Schutzgarant,10,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,1.1,24.23,Hepster,11,bayern,Premium,July
Fahrrad,9000,Yes,None,1.0,25.23,Hepster,12,bayern,Superior,July
Fahrrad,9000,Yes,None,1.2,25.9,BerlinDirect,13,bayern,Rundum,July
Fahrrad,9000,Yes,None,1.0,26.0,Ammerländer,14,bayern,Exclusiv,July
Fahrrad,9000,Yes,None,1.2,26.4,BerlinDirect,15,bayern,Premium,July
Fahrrad,9000,Yes,None,1.2,26.67,GVO,16,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,1.0,32.5,Ammerländer,17,bayern,Excellent,July
Fahrrad,9000,Yes,None,1.0,33.16,Ammerländer,18,bayern,Excellent Plus,July
Fahrrad,9000,Yes,None,1.7,35.09,Bikmo,19,bayern,Plus,July
Fahrrad,9000,Yes,None,1.3,50.62,Adam Riese,20,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,1.2,55.5,Adam Riese,21,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,9000,Yes,None,2.1,64.44,Verias,22,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,Cheap,1.5,15.18,Hepster,1,bayern,Basic,July
Fahrrad,8000,Yes,None,1.5,17.18,BerlinDirect,2,bayern,Classic Rundum,July
Fahrrad,8000,Yes,None,1.3,17.8,Schutzgarant,3,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,1.3,17.92,GVO,4,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,Price-performance recommendation,1.0,18.06,AndSafe,5,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,1.7,19.13,MVK,6,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,1.0,19.65,Janitos,7,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,8000,Yes,None,1.1,20.0,NV Versicherungen,8,bayern,Premium 1.0,July
Fahrrad,8000,Yes,None,1.1,20.25,Bessergrün,9,bayern,Premium 1.0,July
Fahrrad,8000,Yes,None,1.1,20.35,Schutzgarant,10,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,1.0,22.63,Hepster,11,bayern,Superior,July
Fahrrad,8000,Yes,None,1.2,22.9,BerlinDirect,12,bayern,Rundum,July
Fahrrad,8000,Yes,None,1.2,23.33,GVO,13,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,1.0,23.4,Ammerländer,14,bayern,Exclusiv,July
Fahrrad,8000,Yes,None,1.2,23.4,BerlinDirect,15,bayern,Premium,July
Fahrrad,8000,Yes,None,1.0,29.25,Ammerländer,16,bayern,Excellent,July
Fahrrad,8000,Yes,None,1.0,29.91,Ammerländer,17,bayern,Excellent Plus,July
Fahrrad,8000,Yes,None,1.7,31.3,Bikmo,18,bayern,Plus,July
Fahrrad,8000,Yes,None,1.3,46.04,Adam Riese,19,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,1.2,50.46,Adam Riese,20,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,8000,Yes,None,2.1,57.28,Verias,21,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,Cheap,1.5,13.3,Hepster,1,bayern,Basic,July
Fahrrad,7000,Yes,None,1.5,14.93,BerlinDirect,2,bayern,Classic Rundum,July
Fahrrad,7000,Yes,Price-performance recommendation,1.0,15.6,AndSafe,3,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.3,15.68,Schutzgarant,4,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.3,16.67,GVO,5,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.7,16.94,MVK,6,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.0,17.37,Janitos,7,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,7000,Yes,None,1.1,17.5,NV Versicherungen,8,bayern,Premium 1.0,July
Fahrrad,7000,Yes,None,1.1,17.75,Bessergrün,9,bayern,Premium 1.0,July
Fahrrad,7000,Yes,None,1.1,17.9,Schutzgarant,10,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.1,18.63,Hepster,11,bayern,Premium,July
Fahrrad,7000,Yes,None,1.2,19.17,GVO,12,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.0,19.83,Hepster,13,bayern,Superior,July
Fahrrad,7000,Yes,None,1.2,19.9,BerlinDirect,14,bayern,Rundum,July
Fahrrad,7000,Yes,None,1.2,20.4,BerlinDirect,15,bayern,Premium,July
Fahrrad,7000,Yes,None,1.0,20.8,Ammerländer,16,bayern,Exclusiv,July
Fahrrad,7000,Yes,None,1.0,26.0,Ammerländer,17,bayern,Excellent,July
Fahrrad,7000,Yes,None,1.0,26.66,Ammerländer,18,bayern,Excellent Plus,July
Fahrrad,7000,Yes,None,1.7,27.52,Bikmo,19,bayern,Plus,July
Fahrrad,7000,Yes,None,1.3,41.46,Adam Riese,20,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,1.2,45.42,Adam Riese,21,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,7000,Yes,None,2.1,50.12,Verias,22,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,Cheap,1.5,12.02,Hepster,1,bayern,Basic,July
Fahrrad,6000,Yes,None,1.5,13.43,BerlinDirect,2,bayern,Classic Rundum,July
Fahrrad,6000,Yes,Price-performance recommendation,1.0,13.71,AndSafe,3,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.3,14.2,Schutzgarant,4,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.3,14.29,GVO,5,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.1,15.08,NV Versicherungen,6,bayern,Premium 1.0,July
Fahrrad,6000,Yes,None,1.7,15.13,MVK,7,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.0,15.25,Janitos,8,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,6000,Yes,None,1.1,15.33,Bessergrün,9,bayern,Premium 1.0,July
Fahrrad,6000,Yes,None,1.1,16.19,Schutzgarant,10,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.2,16.67,GVO,11,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.1,16.93,Hepster,12,bayern,Premium,July
Fahrrad,6000,Yes,None,1.2,17.9,BerlinDirect,13,bayern,Rundum,July
Fahrrad,6000,Yes,None,1.0,17.93,Hepster,14,bayern,Superior,July
Fahrrad,6000,Yes,None,1.0,18.2,Ammerländer,15,bayern,Exclusiv,July
Fahrrad,6000,Yes,None,1.2,18.4,BerlinDirect,16,bayern,Premium,July
Fahrrad,6000,Yes,None,1.0,22.75,Ammerländer,17,bayern,Excellent,July
Fahrrad,6000,Yes,None,1.0,23.41,Ammerländer,18,bayern,Excellent Plus,July
Fahrrad,6000,Yes,None,1.7,23.74,Bikmo,19,bayern,Plus,July
Fahrrad,6000,Yes,None,1.6,36.84,Enra,20,bayern,Rundumschutz,July
Fahrrad,6000,Yes,None,1.3,36.88,Adam Riese,21,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.2,40.38,Adam Riese,22,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,2.1,42.96,Verias,23,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,Cheap,1.5,10.06,Hepster,1,bayern,Basic,July
Fahrrad,5000,Yes,Price-performance recommendation,1.3,10.79,GVO,2,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.5,11.18,BerlinDirect,3,bayern,Classic Rundum,July
Fahrrad,5000,Yes,None,1.3,11.54,Schutzgarant,4,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,Performance recommendation,1.0,12.36,AndSafe,5,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.0,13.19,Janitos,6,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,5000,Yes,None,1.7,13.4,MVK,7,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.1,13.75,NV Versicherungen,8,bayern,Premium 1.0,July
Fahrrad,5000,Yes,None,1.2,13.75,GVO,9,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.1,13.79,Schutzgarant,10,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.1,14.0,Bessergrün,11,bayern,Premium 1.0,July
Fahrrad,5000,Yes,None,1.2,14.9,BerlinDirect,12,bayern,Rundum,July
Fahrrad,5000,Yes,None,1.1,15.03,Hepster,13,bayern,Premium,July
Fahrrad,5000,Yes,None,1.2,15.4,BerlinDirect,14,bayern,Premium,July
Fahrrad,5000,Yes,None,1.0,15.43,Hepster,15,bayern,Superior,July
Fahrrad,5000,Yes,None,1.0,15.6,Ammerländer,16,bayern,Exclusiv,July
Fahrrad,5000,Yes,None,1.0,19.5,Ammerländer,17,bayern,Excellent,July
Fahrrad,5000,Yes,None,1.7,19.95,Bikmo,18,bayern,Plus,July
Fahrrad,5000,Yes,None,1.0,20.16,Ammerländer,19,bayern,Excellent Plus,July
Fahrrad,5000,Yes,None,1.6,28.17,Enra,20,bayern,Rundumschutz,July
Fahrrad,5000,Yes,None,1.3,32.28,Adam Riese,21,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.2,35.33,Adam Riese,22,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,2.1,35.8,Verias,23,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,Price-performance recommendation,1.0,8.52,Janitos,1,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,4500,Yes,None,1.3,9.54,Schutzgarant,2,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.3,10.0,GVO,3,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.5,10.06,Hepster,4,bayern,Basic,July
Fahrrad,4500,Yes,None,1.5,11.18,BerlinDirect,5,bayern,Classic Rundum,July
Fahrrad,4500,Yes,None,1.2,11.25,GVO,6,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.1,11.95,Schutzgarant,7,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.0,12.28,AndSafe,8,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.1,12.5,NV Versicherungen,9,bayern,Premium 1.0,July
Fahrrad,4500,Yes,None,1.7,12.73,MVK,10,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.1,12.75,Bessergrün,11,bayern,Premium 1.0,July
Fahrrad,4500,Yes,None,1.1,13.53,Hepster,12,bayern,Premium,July
Fahrrad,4500,Yes,None,1.0,13.93,Hepster,13,bayern,Superior,July
Fahrrad,4500,Yes,None,1.0,14.3,Ammerländer,14,bayern,Exclusiv,July
Fahrrad,4500,Yes,None,1.2,14.9,BerlinDirect,15,bayern,Rundum,July
Fahrrad,4500,Yes,None,1.2,15.4,BerlinDirect,16,bayern,Premium,July
Fahrrad,4500,Yes,None,1.0,17.88,Ammerländer,17,bayern,Excellent,July
Fahrrad,4500,Yes,None,1.7,18.06,Bikmo,18,bayern,Plus,July
Fahrrad,4500,Yes,None,1.0,18.53,Ammerländer,19,bayern,Excellent Plus,July
Fahrrad,4500,Yes,None,1.6,24.05,Enra,20,bayern,Rundumschutz,July
Fahrrad,4500,Yes,None,1.3,30.0,Adam Riese,21,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,2.1,32.22,Verias,22,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.2,32.81,Adam Riese,23,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,Cheap,1.3,7.09,Schutzgarant,1,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,Price-performance recommendation,1.0,7.76,Janitos,2,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,4000,Yes,None,1.5,7.82,Hepster,3,bayern,Basic,July
Fahrrad,4000,Yes,None,1.1,8.46,Schutzgarant,4,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.5,8.93,BerlinDirect,5,bayern,Classic Rundum,July
Fahrrad,4000,Yes,None,1.0,9.01,AndSafe,6,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.3,9.08,GVO,7,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.7,10.07,MVK,8,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.1,10.25,NV Versicherungen,9,bayern,Premium 1.0,July
Fahrrad,4000,Yes,None,1.1,10.5,Bessergrün,10,bayern,Premium 1.0,July
Fahrrad,4000,Yes,None,1.2,10.83,GVO,11,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.0,11.1,Ammerländer,12,bayern,Exclusiv,July
Fahrrad,4000,Yes,None,1.1,11.13,Hepster,13,bayern,Premium,July
Fahrrad,4000,Yes,None,1.0,11.33,Hepster,14,bayern,Superior,July
Fahrrad,4000,Yes,None,1.2,11.9,BerlinDirect,15,bayern,Rundum,July
Fahrrad,4000,Yes,None,1.2,12.4,BerlinDirect,16,bayern,Premium,July
Fahrrad,4000,Yes,None,1.0,13.88,Ammerländer,17,bayern,Excellent,July
Fahrrad,4000,Yes,None,1.0,14.54,Ammerländer,18,bayern,Excellent Plus,July
Fahrrad,4000,Yes,None,1.7,16.17,Bikmo,19,bayern,Plus,July
Fahrrad,4000,Yes,None,1.6,19.35,Enra,20,bayern,Rundumschutz,July
Fahrrad,4000,Yes,None,1.3,27.7,Adam Riese,21,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,2.1,28.64,Verias,22,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.2,30.29,Adam Riese,23,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,Cheap,1.3,6.54,Schutzgarant,1,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,Price-performance recommendation,1.0,6.99,Janitos,2,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,3500,Yes,None,1.5,7.5,Hepster,3,bayern,Basic,July
Fahrrad,3500,Yes,None,1.1,7.78,Schutzgarant,4,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.3,8.33,GVO,5,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.0,8.4,AndSafe,6,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.5,8.93,BerlinDirect,7,bayern,Classic Rundum,July
Fahrrad,3500,Yes,None,1.2,9.17,GVO,8,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.7,9.44,MVK,9,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.1,9.58,NV Versicherungen,10,bayern,Premium 1.0,July
Fahrrad,3500,Yes,None,1.1,9.62,Hepster,11,bayern,Premium,July
Fahrrad,3500,Yes,None,1.1,9.83,Bessergrün,12,bayern,Premium 1.0,July
Fahrrad,3500,Yes,None,1.0,11.1,Ammerländer,13,bayern,Exclusiv,July
Fahrrad,3500,Yes,None,1.0,11.23,Hepster,14,bayern,Superior,July
Fahrrad,3500,Yes,None,1.2,11.9,BerlinDirect,15,bayern,Rundum,July
Fahrrad,3500,Yes,None,1.2,12.4,BerlinDirect,16,bayern,Premium,July
Fahrrad,3500,Yes,None,1.0,13.88,Ammerländer,17,bayern,Excellent,July
Fahrrad,3500,Yes,None,1.0,14.54,Ammerländer,18,bayern,Excellent Plus,July
Fahrrad,3500,Yes,None,1.7,14.71,Bikmo,19,bayern,Plus,July
Fahrrad,3500,Yes,None,1.6,16.24,Enra,20,bayern,Rundumschutz,July
Fahrrad,3500,Yes,None,1.3,25.41,Adam Riese,21,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,2.1,26.31,Verias,22,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.2,27.76,Adam Riese,23,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,Cheap,1.5,4.76,Hepster,1,bayern,Basic,July
Fahrrad,3000,Yes,None,1.3,5.5,Schutzgarant,2,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.5,5.55,BerlinDirect,3,bayern,Classic Rundum,July
Fahrrad,3000,Yes,None,1.3,5.83,GVO,4,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,Price-performance recommendation,1.0,6.23,Janitos,5,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,3000,Yes,None,1.1,6.68,Schutzgarant,6,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.0,6.89,AndSafe,7,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.1,7.13,Hepster,8,bayern,Premium,July
Fahrrad,3000,Yes,None,1.0,7.33,Hepster,9,bayern,Superior,July
Fahrrad,3000,Yes,None,1.2,7.4,BerlinDirect,10,bayern,Rundum,July
Fahrrad,3000,Yes,None,1.2,7.83,GVO,11,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.2,7.9,BerlinDirect,12,bayern,Premium,July
Fahrrad,3000,Yes,None,1.0,8.25,Ammerländer,13,bayern,Exclusiv,July
Fahrrad,3000,Yes,None,1.7,8.3,MVK,14,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.1,8.33,NV Versicherungen,15,bayern,Premium 1.0,July
Fahrrad,3000,Yes,None,1.1,8.58,Bessergrün,16,bayern,Premium 1.0,July
Fahrrad,3000,Yes,None,1.0,10.31,Ammerländer,17,bayern,Excellent,July
Fahrrad,3000,Yes,None,1.7,10.73,Bikmo,18,bayern,Plus,July
Fahrrad,3000,Yes,None,1.0,10.97,Ammerländer,19,bayern,Excellent Plus,July
Fahrrad,3000,Yes,None,1.6,15.03,Enra,20,bayern,Rundumschutz,July
Fahrrad,3000,Yes,None,2.1,22.55,Verias,21,bayern,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.3,23.12,Adam Riese,22,bayern,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.2,25.24,Adam Riese,23,bayern,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,Cheap,1.5,4.76,Hepster,1,bayern,Basic,July
Fahrrad,2500,Yes,None,1.3,5.22,Schutzgarant,2,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
